Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8
10.6,10.1,9.9,10.1,9.9,10.2,10.7,9.8
9.4,10.3,10.4,9.6,9.6,9.4,8.7,8.6
9.7,9.3,9.8,8.6,10.7,9.6,9.9,10.4
9.9,10.7,10.7,10.7,8.8,9.6,9.9,9.5
10.6,9.7,10.8,9.9,9.5,9.6,9.8,9.4
10.2,9.4,10.1,10.2,9.9,9.8,9.4,9.9
9.5,10.5,10.3,10.2,10.1,10.0,9.5,9.7
9.3,10.6,10.1,8.9,10.8,10.3,10.0,8.9
10.3,9.1,9.7,10.5,9.6,9.6,9.3,9.8
9.7,10.4,9.6,9.8,9.7,10.5,9.9,9.9
10.7,10.3,9.6,10.4,9.7,10.0,10.2,9.4
10.4,9.8,10.3,10.1,10.4,9.7,8.9,
10.5,10.5,10.0,9.6,9.6,9.7,,
9.8,9.7,10.6,9.5,9.2,,,
10.0,9.9,9.1,10.2,,,,
9.7,9.4,10.5,,,,,
10.0,10.3,,,,,,
10.6,10.0,9.6,10.1,10.3,9.7,10.4,10.4
9.4,10.5,10.4,10.1,10.1,9.9,10.3,
9.9,10.4,8.8,10.0,10.3,10.8,,
10.4,10.4,10.5,9.8,9.4,,,
10.2,9.0,9.5,9.6,,,,
10.1,10.2,8.3,,,,,
10.0,9.5,,,,,,
