Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8
"
10.6",10.5,10.4,10.5,9.6,10.1,10.3,9.9
10.5,10.4,10.4,10.1,9.9,9.8,10.2,10.1
10.5,10.6,10.5,10.3,10.5,10.7,10.6,9.9
10.6,10.9,10.8,10.6,10.7,10.5,10.9,10.4
10.6,10.6,10.8,10.8,10.8,10.9,10.5,10.2
"
10.5",10.8,10.3,10.4,10.4,10.8,10.4,10.8
10.4,10.4,10.6,10.4,10.7,10.3,10.1,10.3
9.7,10.5,10.6,10.3,10.7,10.4,10.7,10.6
10.8,10.0,10.0,10.5,10.7,10.5,10.6,10.8
10.6,10.8,10.2,10.4,10.4,10.1,9.7,10.6
"
10.5",10.2,10.2,10.2,10.5,10.7,10.4,10.2
"
10.9",10.5,10.6,10.4,10.2,9.7,10.2,
"
10.7",10.7,10.5,10.8,10.6,10.2,,
"
10.6",10.5,10.7,10.5,10.5,,,
"
10.5",10.7,9.9,10.4,,,,
"
10.7",10.5,10.6,,,,,
9.9,10.3,,,,,,
10.3,10.8,10.5,10.2,10.1,10.4,10.5,10.3
10.6,10.6,10.5,10.8,10.1,10.5,10.2,
10.9,10.3,10.7,10.4,10.1,9.8,,
10.7,10.7,10.2,9.9,10.6,,,
10.5,10.4,10.7,9.8,,,,
10.6,9.6,10.6,,,,,
9.6,10.5,,,,,,
